date,weekday,start,end,venue,title,organizer,category,source_url,status,ticket_url,description,duration_source
2026-08-04,Tisdag,12:30,14:00,Murfallet,Tomtarnas årliga tornvandring,Snusktomten,Inofficiellt,https://imtv.se/,,,"Följ med runt muren och sjung juliga fyllesånger och stoltsera med era improvisations nerver med torn-låtar! Vi samlas 12.30 vid hålet i muren, se till att ha dricka som inte måste blandas på vägen då vi kör i relativt snabb takt för att hinna runt innan likörslaget🍻",inofficial/inferred
2026-08-04,Tisdag,13:00,14:30,Kruttornet,Tornvandringen,Spazze,Inofficiellt,https://imtv.se/,,,"🍺 Var del av den uråldriga traditionen! Vi går runt muren och tar oss en sup vid varje torn medan vi lyssnar till ”den senaste forskningen”/alternativ fakta om tornen. Improvisationer med glad och trevlig stämning utlovas! Samling: Kruttornet Kl 13.00. Klädsel: 🏴‍☠️ piratigt men inget måste. Tag med: något att dricka (bjudkopp kan vara bra) 🍺 Vi kör oavsett väder. Varken regn, rusk eller drivis kommer stoppa oss 😃",inofficial/inferred
2026-08-04,Tisdag,14:00,15:30,Östergravar,Vinbrännboll!,Domarn,Inofficiellt,https://imtv.se/,,,Randiga Hosmaffian bjuder in till sin årliga Vinbrännboll! Vi ses kl 14 i östergravar och spelar gudarnas spel tillsammans. Efteråt vallfärdar vi ner till veckans största badöl!,inofficial/inferred
2026-08-04,Tisdag,17:00,18:30,Okänd plats,ROLLSPEL: Spöken,Johannes Punkt,Inofficiellt,https://imtv.se/,,,Gillar du tärningsrollspel? Vill du spela i ett oneshot som utspelar sig i ett hemsökt hus? Mejla johannespunkt (snabel-a) gmail.com och hör om plats. I skrivande stund finns platser öppna. (Detta är alltså gratis och enbart för skojs skull.),inofficial/inferred
2026-08-04,Tisdag,19:30,21:00,Nordergravar,Skrik och Skrål - Älskade Stad,Skrik och Skrål,Inofficiellt,https://imtv.se/,,,"Skrik och Skrål spelar i Nordergravar. En del klassiska visor, en del Disney, en del skrönor och en del Skrik och Skrål original. Påbörjas efter Likörslaget. Vid regn flyttas det till onsdag 19.00. Länk

Mer info: https://www.facebook.com/groups/208072148012531",inofficial/inferred
2026-08-05,Onsdag,10:00,11:30,Österport,Ringmuren runt,,Inofficiellt,https://imtv.se/,,,"Fiffel med följe joggar runt ringmuren. Samling vid Österport. Länk

Mer info: https://www.facebook.com/groups/45607418150",inofficial/inferred
2026-08-06,Torsdag,10:00,11:30,Österport,Ringmuren runt,,Inofficiellt,https://imtv.se/,,,"Fiffel med följe joggar runt ringmuren. Samling vid Österport. Länk

Mer info: https://www.facebook.com/groups/45607418150",inofficial/inferred
2026-08-06,Torsdag,13:00,14:30,Jungfrutornet,Den årliga lajvpicknicken,Maria,Inofficiellt,https://imtv.se/,,,"Den årliga lajvpicknicken sker traditionsenligt vid Jungfrutornet. Gå ut genom murfallet och håll till höger så hittar du snart lajviga människor. Ta med egen picknick, valfri klädsel och träffa andra som delar intresset lajv.",inofficial/inferred
2026-08-06,Torsdag,13:00,14:30,Österport,Tåga i tåga,Lina Klasson,Inofficiellt,https://imtv.se/,,,"Gå med den eminenta romerska senaten på galenskap och dryckenskap genom visbys gator! Det utlovas dumheter, yoga, Photoshoot, dans och mycket mer! Kom i ditt finaste lakan men inget mer😜 Vi möts vid österport 13:00, vi börjar med lite fördrink!",inofficial/inferred
2026-08-06,Torsdag,14:00,15:30,Nordergravar,Catch the Beer,Domarn,Inofficiellt,https://imtv.se/,,,"Spelas av Randiga Hosmaffian i Nordergravar. Bra underhållning till din Varm & Kall! Kom som åskådare, kom som deltagare! Alla kan spela.",inofficial/inferred
2026-08-06,Torsdag,16:00,17:30,Kärleksporten,Karrotorderns Årliga Picknick,Karrotorderns Väktare,Inofficiellt,https://imtv.se/,,,"Välkommen på picknick i Morotslandet (utanför Kärleksporten). Ta med dig något gott att dela med dig av, och hugg in på det som bjuds på gemensamma knytkalaset. Allehanda sång kommer naturligtvis att sjungas i tid och otid!",inofficial/inferred
2026-08-06,Torsdag,16:00,17:30,Okänd plats,Världsmästerskap i Broll,Ali alkemi,Inofficiellt,https://imtv.se/,,,"Här är där det avgörs! Den mest tuffa och komplicerade sporten i världen. Ingen förstår sig på reglerna med vem bryr sig när den mest underhållande sporten spelas nu för 15året i rad. Kom och se blodtörstiga barbarer mötet spelskickliga araber, vem ska vinna i denna giganters kamp? Bara du som är där kommer veta... plus några som varit där förr, dom som gillar denna sida, min mamma och en kille jag stötte på vid toaletten igår... Länk

Mer info: https://fb.me/e/1HX4E4HYX",inofficial/inferred
2026-08-06,Torsdag,19:00,20:30,Kärleksporten,Skrik och Skrål - Älskade Stad,Skrik och Skrål,Inofficiellt,https://imtv.se/,,,"Skrik och Skrål spelar vid Kärleksporten. En del klassiska visor, en del Disney, en del skrönor och en del Skrik och Skrål original. Vid regn flyttas det till fredag 19.00. Länk

Mer info: https://www.facebook.com/groups/208072148012531",inofficial/inferred
2026-08-06,Torsdag,22:00,23:30,Lokebron,Årets sämsta föreställning,,Inofficiellt,https://imtv.se/,,,"Fiffel (med gästartister?) bjuder in till årets sämsta föreställning. Oklart innehåll men fisksåsen är given. Vid Lokebron. Länk

Mer info: https://www.facebook.com/events/1234940876667237",inofficial/inferred
2026-08-06,Torsdag,22:00,23:30,Nordergravar,Gravrejvet Gravskogsfest,Alpackan,Inofficiellt,https://imtv.se/,,,"Årets Grave. Vi slaktar historisk musik till dansanta takter. Genren brukar spåra ur efter en stund. (Rave ≠ droger). Plats: Nordergravar, under träbron för femte året i rad.",inofficial/inferred
2026-08-07,Fredag,10:00,11:30,Österport,Ringmuren runt,,Inofficiellt,https://imtv.se/,,,"Fiffel med följe joggar runt ringmuren. Samling vid Österport. Länk

Mer info: https://www.facebook.com/groups/45607418150",inofficial/inferred
2026-08-07,Fredag,12:03,13:33,Okänd plats,Stealth-möte för ninjas,Geten,Inofficiellt,https://imtv.se/,,,Vi möts i smyg mitt i gravarna för att diskutera hemliga tekniker för att inte synas och avslutar med en öl. Glöm inte tids riktiga kläder.,inofficial/inferred
2026-08-07,Fredag,17:00,18:30,Okänd plats,ROLLSPEL: Ratatouille,Johannes Punkt,Inofficiellt,https://imtv.se/,,,Gillar du tärningsrollspel? Vill du spela i ett oneshot där ni är smådjur som gömmer sig i hattar och styr människor? Mejla johannespunkt (snabel-a) gmail.com och hör om plats. I skrivande stund finns platser öppna. (Detta är alltså gratis och enbart för skojs skull.),inofficial/inferred
2026-08-08,Lördag,10:00,11:30,Österport,Ringmuren runt,,Inofficiellt,https://imtv.se/,,,"Fiffel med följe joggar runt ringmuren. Samling vid Österport. Länk

Mer info: https://www.facebook.com/groups/45607418150",inofficial/inferred
2026-08-08,Lördag,14:00,15:30,Nordergravar,Östgötaspelen,,Inofficiellt,https://imtv.se/,,,"Rävarna kör Visbys mest prestigefyllda femkamp! Med glädje, dricka och skratt och grenar som kullerbyttsrace, kåmpiskånk och stockstötning. I Nordergravar.",inofficial/inferred
2026-08-08,Lördag,14:00,15:30,Okänd plats,Improbataljen,Gycklare,Inofficiellt,https://imtv.se/,,,"Improviserad humor så som det alltid varit. Sedan 1998 har improbataljen kört på olika platser i visby och nu är vi tillbaka. Anmäl ditt deltagarintresse till Putte, Kalle eller Niki",inofficial/inferred
2026-08-09,Söndag,10:00,11:30,Österport,Ringmuren runt,,Inofficiellt,https://imtv.se/,,,"Fiffel med följe joggar runt ringmuren. Samling vid Österport. Länk

Mer info: https://www.facebook.com/groups/45607418150",inofficial/inferred
2026-08-09,Söndag,17:00,18:30,Okänd plats,Flockens årliga maträd - Gratis mat till alla!,offer,Inofficiellt,https://imtv.se/,,,"När matstånden plockar ned så tar piraterna från Flocken det som blir över, och ger till alla! Kom och ät dig mätt på, ja - det vet vi aldrig i förväg. Brukar vara en salig blandning på kött, grönsaker och såser. Vi ställer upp i mitten av matstånden. Det kommer synas och höras! Dom stänger 16:00 så vi räknar med att bjuda från 16:30/17:00. Ta gärna med egna bestick och egen tallrik/matlåda! Brukar finnas gott om bröd som går utmärkt att använda som tallrik.",inofficial/inferred
2026-08-09,Söndag,23:59,01:29,Kärleksporten,Efterfest kl 02:00,Dreadful Fred,Inofficiellt,https://imtv.se/,,,Efterfest vid Kärleksporten,inofficial/inferred
